model,image_index,IoU,Dice,Boundary_F1
Model A (Baseline U-Net),0,0.8012699852590996,0.8896708886258907,0.7117937645994705
Model A (Baseline U-Net),1,0.9377405124675406,0.967869540647453,0.8903082896786534
Model A (Baseline U-Net),2,0.9167349346266016,0.9565581617999043,0.9112279875300401
Model A (Baseline U-Net),3,0.9188323132630499,0.9576987307949232,0.9048585676175144
Model A (Baseline U-Net),4,0.9231838072129244,0.9600573690056399,0.8583858475377549
Model A (Baseline U-Net),5,0.9045809005055057,0.9498996965176688,0.831304849838365
Model A (Baseline U-Net),6,0.9451523632326959,0.9718026830856289,0.8555417048784422
Model A (Baseline U-Net),7,0.9555439784666145,0.9772665043550333,0.9033526127902709
Model A (Baseline U-Net),8,0.9648346623993115,0.9821025254944904,0.886119101421344
Model A (Baseline U-Net),9,0.9701131367903612,0.9848297771089761,0.9204562239619178
Model A (Baseline U-Net),10,0.9722150090885484,0.9859116957377707,0.9304751791702318
Model A (Baseline U-Net),11,0.9667770838989954,0.9831078469269424,0.8460055296665909
Model A (Baseline U-Net),12,0.9732369582854795,0.986436912955952,0.9004258950319582
Model A (Baseline U-Net),13,0.9703309692671395,0.9849420328255686,0.8798459323106721
Model A (Baseline U-Net),14,0.9781587519286816,0.9889587513162399,0.8940312203105636
Model A (Baseline U-Net),15,0.9795068282747337,0.989647291006005,0.9089326913210878
Model A (Baseline U-Net),16,0.985281526481021,0.992586172904413,0.9363057498284305
Model A (Baseline U-Net),17,0.9858481527352604,0.9928736340935889,0.7283388266561177
Model A (Baseline U-Net),18,1.0,1.0,1.0
Model A (Baseline U-Net),19,1.0,1.0,1.0
Model A (Baseline U-Net),20,0.9221243365915548,0.9594844603661088,0.5341584552662657
Model A (Baseline U-Net),21,0.9133552692680209,0.9547156596930886,0.5458868393979391
Model A (Baseline U-Net),22,1.0,1.0,1.0
Model A (Baseline U-Net),23,0.9336667741475888,0.9656954941888648,0.5748644697649186
Model A (Baseline U-Net),24,0.9535210438824897,0.9762075093754236,0.6610383672820251
Model A (Baseline U-Net),25,1.0,1.0,1.0
Model A (Baseline U-Net),26,0.9043435099234719,0.9497691137625315,0.6314241727807633
Model A (Baseline U-Net),27,0.8599238548073114,0.9246868125506542,0.7198382649927254
Model A (Baseline U-Net),28,0.9488995215311005,0.9737789708000524,0.9955689716180754
Model A (Baseline U-Net),29,0.9408715568681816,0.9695341614906833,0.9787629645416689
Model A (Baseline U-Net),30,0.8700241164736356,0.9304945229907018,0.7308769645350061
Model A (Baseline U-Net),31,1.0,1.0,1.0
Model A (Baseline U-Net),32,0.7923861456124407,0.8841624880274945,0.7871236981707274
Model A (Baseline U-Net),33,0.40175423510190045,0.5732098216339739,0.3153288771163311
Model A (Baseline U-Net),34,0.8176442344140912,0.8996732707681613,0.803427139741997
Model A (Baseline U-Net),35,0.7276399692852135,0.8423483486965428,0.7326190933572881
Model A (Baseline U-Net),36,0.8336968583782957,0.9093062323271319,0.6301793035640982
Model A (Baseline U-Net),37,0.806704948488431,0.8930107191823508,0.7653837476866541
Model A (Baseline U-Net),38,0.9023788665004381,0.9486843410369404,0.6905145125493718
Model A (Baseline U-Net),39,0.9258593484730461,0.96150216239201,0.8881015431565509
Model A (Baseline U-Net),40,0.9340780998389694,0.9659152408309396,0.8927922577629258
Model A (Baseline U-Net),41,0.9466877804169965,0.9726135972551023,0.9241408150545447
Model A (Baseline U-Net),42,0.9391001739995029,0.9685934040321641,0.9037589389585917
Model A (Baseline U-Net),43,0.9613082561814881,0.980272256574962,0.9600525589531851
Model A (Baseline U-Net),44,0.961312682768331,0.9802745656759771,0.9570215616446311
Model A (Baseline U-Net),45,0.9730885937422276,0.9863605995285457,0.9563312838161313
Model A (Baseline U-Net),46,0.9714403973509934,0.985513141837364,0.9572858324686514
Model A (Baseline U-Net),47,0.953604568165596,0.9762509757029213,0.9693396618426628
Model A (Baseline U-Net),48,0.9591821725380598,0.9791656239051003,0.9665963534516253
Model A (Baseline U-Net),49,0.9517358406587293,0.9752708095781072,0.9414123850069436
Model A (Baseline U-Net),50,0.9679801010739103,0.9837293984291146,0.9785326050588948
Model A (Baseline U-Net),51,0.8826199740596627,0.9376471263707872,0.9458615861457191
Model A (Baseline U-Net),52,0.9276432368576492,0.9624621748956219,0.9074800959298226
Model A (Baseline U-Net),53,0.00036859565057132326,0.00036859565057132326,0.0
Model A (Baseline U-Net),54,0.0029498525073746312,0.0029498525073746312,0.0
Model A (Baseline U-Net),55,0.9613519318260548,0.9802950734740015,0.9283416024822844
Model A (Baseline U-Net),56,0.978720597353597,0.9892458063311732,0.9425280947038036
Model A (Baseline U-Net),57,1.0,1.0,1.0
Model A (Baseline U-Net),58,1.0,1.0,1.0
Model A (Baseline U-Net),59,1.0,1.0,1.0
Model A (Baseline U-Net),60,1.0,1.0,1.0
Model A (Baseline U-Net),61,1.0,1.0,1.0
Model A (Baseline U-Net),62,1.0,1.0,1.0
Model A (Baseline U-Net),63,1.0,1.0,1.0
Model A (Baseline U-Net),64,1.0,1.0,1.0
Model A (Baseline U-Net),65,1.0,1.0,1.0
Model A (Baseline U-Net),66,1.0,1.0,1.0
Model A (Baseline U-Net),67,1.0,1.0,1.0
Model A (Baseline U-Net),68,1.0,1.0,1.0
Model A (Baseline U-Net),69,0.0016366612111292963,0.0016366612111292963,0.0
Model A (Baseline U-Net),70,1.0,1.0,1.0
Model A (Baseline U-Net),71,1.0,1.0,1.0
Model A (Baseline U-Net),72,1.0,1.0,1.0
Model A (Baseline U-Net),73,1.0,1.0,1.0
Model A (Baseline U-Net),74,1.0,1.0,1.0
Model A (Baseline U-Net),75,0.0010030090270812437,0.0010030090270812437,0.0
Model A (Baseline U-Net),76,1.0,1.0,1.0
Model A (Baseline U-Net),77,1.0,1.0,1.0
Model A (Baseline U-Net),78,1.0,1.0,1.0
Model A (Baseline U-Net),79,1.0,1.0,1.0
Model A (Baseline U-Net),80,1.0,1.0,1.0
Model A (Baseline U-Net),81,1.0,1.0,1.0
Model A (Baseline U-Net),82,1.0,1.0,1.0
Model A (Baseline U-Net),83,1.0,1.0,1.0
Model A (Baseline U-Net),84,1.0,1.0,1.0
Model A (Baseline U-Net),85,1.0,1.0,1.0
Model A (Baseline U-Net),86,1.0,1.0,1.0
Model A (Baseline U-Net),87,1.0,1.0,1.0
Model A (Baseline U-Net),88,1.0,1.0,1.0
Model A (Baseline U-Net),89,1.0,1.0,1.0
Model A (Baseline U-Net),90,1.0,1.0,1.0
Model A (Baseline U-Net),91,0.84219958331862,0.9143408921006728,0.5805887100832792
Model A (Baseline U-Net),92,0.8459619391095783,0.9165536471324652,0.5569808841402384
Model A (Baseline U-Net),93,0.8450489236790607,0.9160174583560932,0.5476239829230242
Model A (Baseline U-Net),94,0.9244545791480567,0.9607443749163541,0.594031983959467
Model A (Baseline U-Net),95,0.9165267724775442,0.9564454480303047,0.5460985720199798
Model A (Baseline U-Net),96,1.0,1.0,1.0
Model A (Baseline U-Net),97,0.9941478748850748,0.9970653448602403,0.08928456079936338
Model A (Baseline U-Net),98,0.982779180276219,0.9913147895978615,0.43859298837993854
Model A (Baseline U-Net),99,0.9948839640313295,0.9974354168738477,0.13572251267245933
Model A (Baseline U-Net),100,0.9833624550774842,0.9916114289231621,0.08817273980004123
Model A (Baseline U-Net),101,1.0,1.0,1.0
Model A (Baseline U-Net),102,0.8032924714554885,0.8909171138243535,0.22985084527599642
Model A (Baseline U-Net),103,0.9763968919611391,0.9880574428006011,0.5925794105046642
Model A (Baseline U-Net),104,0.9779154869384048,0.9888343902939684,0.7824752702721487
Model A (Baseline U-Net),105,0.9743655390917528,0.9870162850257729,0.786016531702921
Model A (Baseline U-Net),106,0.8972103252691284,0.9458200713857168,0.7395998192605652
Model A (Baseline U-Net),107,0.9018042471658949,0.948366906183233,0.47691523906199257
Model A (Baseline U-Net),108,0.9921545597606911,0.9960618224780119,0.6783360095405969
Model A (Baseline U-Net),109,0.9908733218829963,0.9954157313262028,0.5939354340916049
Model A (Baseline U-Net),110,0.9936196412155153,0.996799604022388,0.59469245738968
